id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
30547,NZKE,small_airport,"Waiheke Reeve Airport",-36.80889892578125,175.08599853515625,226,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,,0,NZKE,WIK,,,,,50,2008-07-18T11:37:09+00:00
29886,NZGA,small_airport,"Galatea Airfield",-38.403900146484375,176.74400329589844,594,OC,"New Zealand",NZ,"Bay of Plenty Region",NZ-BOP,BOP,,0,NZGA,,,,,,50,2008-07-18T10:50:02+00:00
42261,NZ-0001,small_airport,"Mesopotamia Station Airstrip",-43.641170501708984,170.90237426757812,,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,,,,http://www.mesopotamia.co.nz/transport.html,,,50,2008-10-12T00:50:46+00:00
42498,NZ-0002,small_airport,"Arrowsmith Station",-43.46634292602539,171.162353515625,,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,,,,,,,50,2008-11-23T05:24:06+00:00
42500,NZ-0004,small_airport,"Hakatere Airstrip",-43.57743835449219,171.17091369628906,2000,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,,,,,,,50,2008-11-23T05:43:48+00:00
42502,NZ-0006,closed,"Arkwrights Airstrip/Dunsandel (Private)",-43.6785507202,172.117477417,285,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,,,,http://anzfc.inet.net.nz/arkwrights.htm,,,50,2013-05-22T10:37:43+00:00
42503,NZ-0007,small_airport,Dunsandel,-43.68368911743164,172.1490020751953,,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,,,,,,,50,2008-11-23T19:34:44+00:00
42504,NZ-0008,small_airport,"Cattle Creek Airstrip",-44.51150131225586,170.6699981689453,,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,,,,,,,50,2008-11-23T20:20:43+00:00
42725,NZ-0011,small_airport,"Worthy Lodge airstrip (Ladbrooks)",-43.63935089111328,172.52540588378906,20,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,,,,,,"Christchurch, Lincoln",50,2008-12-09T05:53:20+00:00
42726,NZ-0012,small_airport,"Kings (Ladbrooks)",-43.63925552368164,172.53067016601562,20,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,,,,,,,50,2008-12-09T05:56:12+00:00
30351,NZRX,small_airport,"Roxburgh Aerodrome",-45.51169967651367,169.31700134277344,463,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,,0,NZRX,,,,,,50,2008-07-18T10:42:17+00:00
30463,NZTI,small_airport,"Taieri Airport",-45.86000061035156,170.35800170898438,92,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,,0,NZTI,,,,,,50,2008-07-18T10:44:08+00:00
42506,NZ-0010,small_airport,"Dingleburn Station Airstrip",-44.4380989074707,169.39100646972656,1000,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,,0,,,,http://www.dingleburnstation.com/,,,50,2008-12-30T09:27:22+00:00
46372,NZ-0003,small_airport,"Hawea Downs",-44.660900092300004,169.239664078,,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,,0,,,,,,,50,2010-04-03T05:23:56+00:00
29901,NZGC,small_airport,"Gore3 Airport",-46.156700134277344,168.8979949951172,200,OC,"New Zealand",NZ,"Southland Region",NZ-STL,STL,,0,NZGC,,,,,,50,2008-07-18T10:39:08+00:00
30060,NZLE,small_airport,"Lake Station Airport",-41.75920104980469,172.74600219726562,1709,OC,"New Zealand",NZ,"Tasman Region",NZ-TAS,TAS,,0,NZLE,,,,,,50,2008-09-15T10:18:31+00:00
42501,NZ-0005,small_airport,"Lake Haupiri/Gloriavale Christian Community Airport",-42.6012001038,171.699005127,600,OC,"New Zealand",NZ,"West Coast Region",NZ-WTC,WTC,,0,NZHP,,,,,,50,2013-01-15T01:59:24+00:00
32068,NZAN,small_airport,"Alfredton Airport",-40.69810104370117,175.8560028076172,500,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,Alfredton,0,NZAN,,,,,,50,2008-07-18T11:10:04+00:00
29682,NZBA,small_airport,"Balclutha Aerodrome",-46.245459,169.74864,22,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,Balclutha,0,NZBA,,,,https://en.wikipedia.org/wiki/Balclutha_Aerodrome,,50,2022-09-15T13:37:12+00:00
42728,NZ-0014,small_airport,"Big Bay Beach Airstrip",-44.294983,168.114944,1,OC,"New Zealand",NZ,"West Coast Region",NZ-WTC,WTC,"Big Bay",0,,,,,,,50,2022-09-14T11:01:04+00:00
29931,NZHT,small_airport,"Haast Aerodrome",-43.865299,169.041,13,OC,"New Zealand",NZ,"West Coast Region",NZ-WTC,WTC,Haast,0,NZHT,,,,,,50,2022-09-14T11:15:27+00:00
29941,NZHA,small_airport,"Hawera Airport",-39.55329895019531,174.26699829101562,371,OC,"New Zealand",NZ,"Taranaki Region",NZ-TKI,TKI,Hawera,0,NZHA,,,,,,50,2009-08-23T20:06:12+00:00
30115,NZMJ,small_airport,"Martins Bay Aerodrome",-44.365971,168.016255,348,OC,"New Zealand",NZ,"Southland Region",NZ-STL,STL,Jamestown,0,NZMJ,,,,,,50,2022-09-14T11:24:03+00:00
30043,NZKY,small_airport,"Kowhai Aerodrome",-39.8461,176.423004,840,OC,"New Zealand",NZ,"Hawke's Bay Region",NZ-HKB,HKB,Kowhai,0,NZKY,,,,,,50,2022-09-19T13:54:08+00:00
32071,NZLT,seaplane_base,"Lake Taupo Water Airport",-38.7317008972168,176.03500366210938,,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,"Lake Taupo",0,NZLT,,,,,,50,2008-07-18T11:50:20+00:00
32073,NZMT,small_airport,"Martinborough Airport",-41.21419906616211,175.48599243164062,,OC,"New Zealand",NZ,"Wellington Region",NZ-WGN,WGN,Martinborough,0,NZMT,,,,,,50,2008-07-18T11:08:12+00:00
30173,NZMR,small_airport,"Murchison Airport",-41.79669952392578,172.31500244140625,531,OC,"New Zealand",NZ,"Tasman Region",NZ-TAS,TAS,Murchison,0,NZMR,,,,,,50,2009-08-23T20:52:30+00:00
429831,NZPW,small_airport,"Papawai Airfield",-41.104009,175.500326,128,OC,"New Zealand",NZ,"Wellington Region",NZ-WGN,WGN,Papawai,0,NZPW,,,,,,50,2022-09-15T10:54:58+00:00
30315,NZRA,small_airport,"Raglan Aerodrome",-37.804699,174.860001,10,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,Raglan,0,NZRA,RAG,,,,,50,2021-06-01T18:01:57+00:00
32077,NZRI,small_airport,"Rangitata Island Airport",-44.084999084472656,171.41600036621094,288,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,"Rangitata Island",0,NZRI,,,http://www.mothmanor.co.nz/,https://en.wikipedia.org/wiki/Rangitata_Island,,50,2008-11-23T18:48:48+00:00
32078,NZVR,small_airport,"Taihape Airport",-39.685001373291016,175.78900146484375,1550,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,Taihape,0,NZVR,,,,,,50,2008-07-18T11:09:30+00:00
30478,NZTT,small_airport,"Te Kuiti Aerodrome",-38.30351,175.147805,161,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,"Te Kuiti",0,NZTT,,,,,,50,2021-06-01T18:01:15+00:00
30560,NZWT,small_airport,"Whitianga Airport",-36.828731,175.682802,10,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,Whitianga,0,NZWT,WTZ,,,,,50,2022-09-19T14:11:32+00:00
44818,NZMB,heliport,"Mechanics Bay Heliport",-36.846525628100004,174.787872434,5,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,"Auckland City",0,NZMB,MHB,,,,,0,2013-01-17T00:56:55+00:00
308785,NZJH,heliport,"Hastings Hospital Heliport",-39.629236,176.82404,36,OC,"New Zealand",NZ,"Hawke's Bay Region",NZ-HKB,HKB,Hastings,0,NZJH,,,,,,0,2013-05-30T11:56:02+00:00
44822,NZJN,heliport,"North Shore Hospital Heliport",-36.781700134277344,174.75900268554688,70,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,"North Shore City",0,NZJN,,,,,,0,2009-08-23T21:07:52+00:00
44828,NZLF,heliport,"Rotorua Lakefront Heliport",-38.129398345947266,176.2530059814453,935,OC,"New Zealand",NZ,"Bay of Plenty Region",NZ-BOP,BOP,Rotorua,0,NZLF,,,,,,0,2009-08-23T21:08:24+00:00
